,url,app,lang_key,restriction,keyword
122,app=core&module=settings&controller=posting&tab=acronymExpansion,core,acronym_expansion,posting_manage_acronym,abbreviations
123,app=core&module=settings&controller=posting&tab=acronymExpansion,core,acronym_expansion,posting_manage_acronym,acronyms
124,app=core&module=settings&controller=posting&tab=general&searchResult=attachment_image_size,core,attachment_image_size,,attachments
125,app=core&module=settings&controller=posting&searchResult=remote_image_proxy,core,remote_image_proxy,posting_manage,ssl
126,app=core&module=settings&controller=posting&searchResult=remote_image_proxy,core,remote_image_proxy,posting_manage,remote image proxy
127,app=core&module=settings&controller=posting&searchResult=remote_image_proxy,core,remote_image_proxy,posting_manage,external image proxy
128,app=core&module=settings&controller=posting&searchResult=remote_image_proxy,core,remote_image_proxy,posting_manage,https
129,app=core&module=settings&controller=posting&searchResult=remote_image_proxy,core,remote_image_proxy,posting_manage,image proxy
130,app=core&module=settings&controller=posting&searchResult=remote_image_proxy,core,remote_image_proxy,posting_manage,proxy
131,app=core&module=settings&controller=posting&searchResult=max_video_width,core,max_video_width,posting_manage,width
132,app=core&module=settings&controller=posting&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,posting_manage,reviews
133,app=core&module=settings&controller=posting&searchResult=form_topic_redirect_prune,core,topic_redirect_prune,posting_manage,shadow topics
134,app=core&module=settings&controller=posting&searchResult=form_topic_redirect_prune,core,topic_redirect_prune,posting_manage,moved links
135,app=core&module=settings&controller=posting&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,posting_manage,stars
136,app=core&module=settings&controller=posting&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,merging
137,app=core&module=settings&controller=posting&searchResult=form_max_video_width,core,max_video_width,posting_manage,videos
138,app=core&module=settings&controller=posting&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,concurrent
139,app=core&module=settings&controller=posting&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,merge
140,app=core&module=settings&controller=posting&searchResult=form_max_video_width,core,max_video_width,posting_manage,video width
141,app=core&module=settings&controller=posting&searchResult=form_max_title_length,core,max_title_length,posting_manage,title size
142,app=core&module=settings&controller=posting&searchResult=form_max_video_width,core,max_video_width,posting_manage,video size
143,app=core&module=settings&controller=posting&searchResult=form_max_title_length,core,max_title_length,posting_manage,title length
144,app=core&module=settings&controller=posting&searchResult=form_editor_embeds,core,editor_embeds,posting_manage,youtube
145,app=core&module=settings&controller=posting&searchResult=form_flood_control,core,flood_control,posting_manage,flood control
146,app=core&module=settings&controller=posting&searchResult=form_editor_embeds,core,editor_embeds,posting_manage,facebook
147,app=core&module=settings&controller=posting&searchResult=form_editor_embeds,core,editor_embeds,posting_manage,embeds
148,app=core&module=settings&controller=posting&searchResult=form_editor_embeds,core,editor_embeds,posting_manage,embed
149,app=core&module=settings&controller=posting&searchResult=form_editor_embeds,core,editor_embeds,posting_manage,disable
150,app=core&module=settings&controller=posting&searchResult=form_edit_log,core,edit_log,posting_manage,editing
151,app=core&module=settings&controller=posting&searchResult=form_edit_log,core,edit_log,posting_manage,edit log
152,app=core&module=settings&controller=posting&searchResult=form_dellog_retention_period,core,dellog_retention_period,posting_manage,delete
153,app=core&module=settings&controller=posting&searchResult=form_dellog_retention_period,core,dellog_retention_period,posting_manage,content
154,app=core&module=settings&controller=posting&searchResult=form_attach_allowed_types,core,attach_allowed_types,,files
155,app=core&module=settings&controller=posting&searchResult=form_attach_allowed_types,core,attach_allowed_types,,file types
156,app=core&module=settings&controller=posting&searchResult=form_attach_allowed_types,core,attach_allowed_types,,attachments
157,app=core&module=settings&controller=posting&searchResult=form_attach_allowed_types,core,attach_allowed_types,,attachment restrictions
158,app=core&module=settings&controller=posting&searchResult=form_allow_remote_images,core,allow_remote_images,posting_manage,remote images
159,app=core&module=settings&controller=posting&searchResult=form_allow_remote_images,core,allow_remote_images,posting_manage,linked images
160,app=core&module=settings&controller=posting&searchResult=form_allow_remote_images,core,allow_remote_images,posting_manage,external images
161,app=core&module=settings&controller=posting&searchResult=attachment_resample_size,core,attachment_resample_size,posting_manage,image size
162,app=core&module=settings&controller=posting&searchResult=attachment_image_size,core,attachment_image_size,posting_manage,thumbnail size
163,app=core&module=settings&controller=posting&searchResult=attach_allowed_extensions,core,attach_allowed_extensions,posting_manage,extensions
164,app=core&module=settings&controller=posting&searchResult=attachment_image_size,core,attachment_image_size,posting_manage,thumbnail dimensions
165,app=core&module=settings&controller=posting&searchResult=attachment_resample_size,core,attachment_resample_size,posting_manage,image dimensions
166,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,verification
167,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,two-factor verification
168,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,two factor authentication
169,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,two-factor authentication
170,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,two factor verification
171,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,security questions
172,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,security
173,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,multi-factor authentication
174,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,multi-factor verification
175,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,multifactor verification
176,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,multifactor authentication
177,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,google authenticator
178,app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,mfa
